terror,placebo,pintr,pintr_placebo,male,age,edu,party,O_sd,C_sd,E_sd,A_sd,N_sd,optrt5o1,optrt5o2,optrt5o3
NA,NA,-0,2,0,47,12,-8,-0.16082198787268154,0.7784288634288612,-0.6097271950588146,0.7635269604602287,1.2691842097956931,4,1,7
NA,NA,1,3,1,48,4,-8,-0.29580842807471425,-0.7486337829514711,0.09704007886863153,-0.3921394977604496,-0.6249225866139226,4,3,4
NA,NA,2,1,0,44,4,-8,-0.0258355476706488,-0.13780872439933817,-1.0337875594152823,0.10314612719126968,1.2691842097956931,5,4,4
NA,NA,1,NA,1,21,6,-8,0.3791237729354494,-0.4432212536754046,-0.892434104629793,0.2682413355085094,1.2691842097956931,5,5,6
1,NA,2,2,0,91,8,-1,0.24413733273341667,0.47301633415279476,1.086514262367056,0.7635269604602287,-1.003743945895846,4,4,7
NA,NA,2,1,0,55,2,11,0.24413733273341667,-0.13780872439933817,0.37974698843960997,0.2682413355085094,0.7640890640864624,4,7,4
NA,NA,1,2,1,53,4,-8,-0.5657813084787797,-0.4432212536754046,-0.3270202854878361,0.10314612719126968,-0.11982744090469175,3,3,3
NA,NA,-0,NA,1,20,4,11,-0.16082198787268154,-0.13780872439933817,0.09704007886863153,-0.06194908112597008,-0.11982744090469175,4,4,4
NA,NA,2,1,1,27,2,10,0.6490966533395148,-0.4432212536754046,0.5211004432250992,0.4333365438257492,-0.2461012273319995,6,6,6
NA,NA,-0,1,0,48,12,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-0,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,1,2,0,79,8,1,-0.0258355476706488,0.1676038048767283,-0.1856668307023469,0.2682413355085094,0.13272013194992371,4,4,5
NA,NA,2,2,0,54,5,-8,-0.8357541888828451,-1.5121651061416372,-0.4683737402733254,-1.547805955981128,-0.3723750137593072,3,2,2
NA,NA,1,1,0,59,12,-8,0.5141102131374822,0.1676038048767283,-1.0337875594152823,0.7635269604602287,0.7640890640864624,5,6,6
NA,NA,2,2,1,55,6,-8,0.10915089253138394,0.47301633415279476,-0.7510806498443038,-0.22704428944320984,-0.6249225866139226,5,4,5
NA,NA,2,2,0,27,2,-8,0.6490966533395148,0.1676038048767283,0.6624538980105884,0.10314612719126968,-0.11982744090469175,6,6,6
0,NA,2,2,1,78,12,-8,-0.9707406290848779,-0.7486337829514711,-0.4683737402733254,-0.8874251227121689,-0.11982744090469175,1,2,3
0,NA,1,1,0,71,5,-8,-0.5657813084787797,-0.9013400475895043,-0.7510806498443038,-0.22704428944320984,0.006446345522615976,2,3,4
0,NA,2,1,0,81,7,-8,-0.9707406290848779,-0.13780872439933817,0.09704007886863153,0.2682413355085094,-0.11982744090469175,1,2,3
NA,NA,2,1,1,46,4,-8,0.5141102131374822,0.47301633415279476,0.23839353365412075,0.4333365438257492,-0.8774701594685381,6,6,5
NA,NA,1,1,0,45,5,-8,0.10915089253138394,0.625722598790828,-0.1856668307023469,-0.06194908112597008,0.2589939183772314,5,5,4
NA,NA,1,NA,0,22,2,-8,-0.16082198787268154,0.1676038048767283,-0.044313375916857696,-0.22704428944320984,0.6378152776591546,3,4,5
NA,NA,-0,NA,0,20,6,11,0.5141102131374822,0.014897540238695073,0.37974698843960997,-0.06194908112597008,0.7640890640864624,5,7,5
NA,NA,1,1,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,3,2,1,71,12,-8,0.10915089253138394,0.1676038048767283,0.09704007886863153,-0.3921394977604496,0.2589939183772314,4,5,5
0,NA,2,2,0,69,2,-8,0.6490966533395148,-0.7486337829514711,0.23839353365412075,-0.7223299143949291,0.13272013194992371,7,4,7
0,NA,2,2,1,85,10,-8,-0.29580842807471425,0.7784288634288612,-0.7510806498443038,-0.5572347060776893,-0.6249225866139226,6,1,4
0,NA,1,1,0,84,12,-8,-0.7007677486808125,NA,-0.892434104629793,-0.22704428944320984,-0.7511963730412304,1,2,5
