pintr_dif,polint_pre,polint_post,O_sd,C_sd,E_sd,A_sd,N_sd,male,age,education,ideology,W3_f15771a,W3_f15771f,W3_f15770d
0,2,2,-0.5462407620395476,-0.42883258131414104,-0.6402310151844404,0.4703554560897234,0.11114329953751388,1,28,13,8,3,4,6
NA,NA,NA,NA,NA,NA,NA,NA,0,85,2,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,22,4,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,48,5,5,NA,NA,NA
NA,NA,1,-0.45616628621898225,0.15941600772637787,-0.5447458202101036,-0.17752852331720548,0.37613967476389226,0,67,3,7,1,5,8
0,3,3,-0.005793907116155319,-0.7817817347384524,0.41010612953326325,0.25439412962074714,-0.24218520076432398,0,39,12,4,2,9,8
0,3,3,0.35450399616610623,0.39471544334258546,0.7920469094306101,-0.3934898497861818,0.37613967476389226,0,NA,9,7,5,9,9
NA,NA,NA,NA,NA,NA,NA,NA,0,89,5,5,NA,NA,NA
NA,2,NA,NA,NA,NA,NA,NA,0,20,9,3,NA,NA,NA
NA,NA,3,0.8949508510894986,0.630014878958793,0.7920469094306101,0.03843280315177083,-0.5071815759907023,0,34,5,7,10,10,9
NA,NA,NA,NA,NA,NA,NA,NA,0,63,7,5,NA,NA,NA
NA,NA,3,-0.9065386653218092,-0.42883258131414104,-0.3537754302614303,-0.3934898497861818,0.37613967476389226,1,72,5,7,1,4,4
0,4,4,-0.0958683829367207,0.5123651611506892,0.12365054461025315,0.6863167825586997,0.6411360499902706,1,61,9,8,4,8,6
0,3,3,NA,NA,NA,NA,NA,0,41,5,8,NA,NA,NA
1,3,2,-0.9966131411423745,-0.6641320169303486,-0.2582902352870936,-0.7174318394896462,-0.06552095061340506,1,76,7,7,1,4,3
NA,NA,NA,NA,NA,NA,NA,NA,1,34,10,NA,NA,NA,NA
0,2,2,0.985025326910064,0.7476645967668968,0.6010765194819366,0.14641346638625896,-0.33051732583978344,1,56,5,7,10,10,10
0,3,3,0.17435504452497544,-0.31118286350603724,0.31462093455892653,-0.9333931659586225,0.8178003001411897,0,53,10,2,9,7,5
NA,NA,NA,NA,NA,NA,NA,NA,0,41,4,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,47,7,6,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,57,5,5,NA,NA,NA
0,4,4,-0.18594285875728608,0.15941600772637787,-0.5447458202101036,0.25439412962074714,0.2878075496884328,1,73,13,7,8,5,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,74,7,10,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,66,5,5,NA,NA,NA
NA,3,NA,NA,NA,NA,NA,NA,0,55,7,2,NA,NA,NA
0,3,3,-0.9065386653218092,-0.0758834278898297,-0.5447458202101036,0.7942974457931878,0.022811174462054412,1,40,5,9,0,4,5
0,2,2,-0.005793907116155319,0.27706572553448167,-0.16280504031275692,0.3623747928552353,0.2878075496884328,0,47,9,2,8,6,5
NA,NA,NA,NA,NA,NA,NA,NA,0,63,13,7,NA,NA,NA
NA,NA,4,0.534652947807237,-0.42883258131414104,-0.16280504031275692,-0.6094511762551581,0.19947542461297335,1,71,13,6,5,10,10
1,3,2,-0.2760173345778515,-0.5464822991222449,0.02816534963591646,-0.3934898497861818,-0.06552095061340506,NA,55,11,7,7,5,4
NA,NA,NA,NA,NA,NA,NA,NA,0,36,10,0,NA,NA,NA
0,3,3,0.26442952034554085,0.15941600772637787,0.02816534963591646,0.5783361193242116,-0.15385307568886453,0,53,NA,3,7,8,7
NA,NA,NA,NA,NA,NA,NA,NA,1,54,5,NA,NA,NA,NA
0,4,4,-0.5462407620395476,0.15941600772637787,-0.16280504031275692,-0.5014705130206699,-0.24218520076432398,0,62,13,8,3,3,7
0,4,4,0.17435504452497544,-0.0758834278898297,0.6965617144562734,-0.2855091865516936,-0.15385307568886453,1,74,6,2,5,8,8
NA,NA,NA,NA,NA,NA,NA,NA,0,46,10,8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,26,3,NA,NA,NA,NA
0,3,3,0.08428056870441007,-1.1347308881627638,-0.16280504031275692,-0.7174318394896462,0.4644717998393518,1,33,8,3,6,8,6
NA,NA,NA,NA,NA,NA,NA,NA,0,52,5,5,NA,NA,NA
0,2,2,0.17435504452497544,0.39471544334258546,-0.3537754302614303,-1.0413738291931107,0.2878075496884328,0,53,7,7,8,6,7
NA,NA,NA,NA,NA,NA,NA,NA,1,52,5,2,NA,NA,NA
0,2,2,0.08428056870441007,NA,-1.3086273800047972,NA,0.8178003001411897,0,47,9,3,9,8,3
NA,NA,NA,NA,NA,NA,NA,NA,0,49,10,3,NA,NA,NA
0,3,3,0.6247274236278024,-0.5464822991222449,0.6965617144562734,-0.2855091865516936,0.7294681750657301,0,23,9,1,9,9,8
NA,NA,2,-0.2760173345778515,-1.1347308881627638,-0.7357162101587771,-0.17752852331720548,0.8178003001411897,1,18,9,5,4,6,6
0,3,3,-0.005793907116155319,-0.19353314569793348,0.21913573958458984,0.03843280315177083,-0.06552095061340506,1,49,11,6,7,6,6
0,4,4,-0.0958683829367207,-0.31118286350603724,0.6965617144562734,0.25439412962074714,0.2878075496884328,1,43,13,3,5,5,8
NA,2,NA,NA,NA,NA,NA,NA,0,38,11,4,NA,NA,NA
0,4,4,0.26442952034554085,0.04176628991827409,0.21913573958458984,-0.6094511762551581,0.022811174462054412,1,79,7,3,10,4,8
0,3,3,-0.005793907116155319,-0.0758834278898297,0.12365054461025315,0.4703554560897234,0.2878075496884328,0,56,13,8,2,9,8
0,4,4,0.08428056870441007,0.27706572553448167,0.7920469094306101,-0.2855091865516936,0.2878075496884328,0,58,13,0,8,5,7
0,2,2,-1.1767620927835054,0.15941600772637787,-0.7357162101587771,0.5783361193242116,0.19947542461297335,0,51,7,NA,3,1,2
0,3,3,NA,-0.31118286350603724,-0.3537754302614303,-0.7174318394896462,0.022811174462054412,1,61,13,4,6,5,NA
0,3,3,-0.3660918103984169,-0.31118286350603724,0.21913573958458984,0.03843280315177083,-0.15385307568886453,0,57,5,7,5,5,5
0,3,3,-0.18594285875728608,-0.5464822991222449,-0.16280504031275692,-0.6094511762551581,-0.15385307568886453,1,65,5,7,4,6,7
0,3,3,-0.45616628621898225,-0.0758834278898297,-0.6402310151844404,0.4703554560897234,-0.4188494509152429,0,59,5,4,4,4,6
NA,NA,NA,NA,NA,NA,NA,NA,0,37,12,6,NA,NA,NA
NA,2,NA,NA,NA,NA,NA,NA,0,27,5,5,NA,NA,NA
NA,NA,3,-0.005793907116155319,-0.8994314525465562,-0.06731984533842024,0.14641346638625896,0.2878075496884328,0,20,5,5,7,8,4
0,4,4,-0.636315237860113,-0.5464822991222449,0.41010612953326325,-0.9333931659586225,-0.24218520076432398,1,68,10,6,1,5,6
0,4,4,0.08428056870441007,0.39471544334258546,0.21913573958458984,0.25439412962074714,-0.7721779512170808,0,51,5,8,6,8,6
NA,NA,3,0.8048763752689332,-0.8994314525465562,-0.06731984533842024,-0.5014705130206699,0.11114329953751388,0,73,9,5,10,8,10
NA,NA,3,-0.5462407620395476,0.7476645967668968,-0.3537754302614303,0.902278109027676,-0.15385307568886453,0,18,3,0,3,2,8
0,3,3,-0.18594285875728608,-0.7817817347384524,-0.7357162101587771,-0.9333931659586225,0.37613967476389226,1,34,7,2,4,8,5
1,3,2,-1.2668365686040708,-0.6641320169303486,0.02816534963591646,-1.0413738291931107,-0.5071815759907023,1,51,5,5,1,3,1
0,2,2,0.26442952034554085,0.15941600772637787,-0.3537754302614303,0.25439412962074714,-0.15385307568886453,0,47,5,NA,5,9,8
-1,3,4,NA,NA,NA,NA,NA,1,41,5,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,70,5,7,NA,NA,NA
0,3,3,0.26442952034554085,0.27706572553448167,0.12365054461025315,-0.17752852331720548,-0.5071815759907023,1,56,11,6,5,9,8
0,2,2,0.26442952034554085,0.5123651611506892,0.41010612953326325,-0.2855091865516936,0.022811174462054412,1,41,5,9,8,8,6
NA,NA,3,0.7148018994483678,0.39471544334258546,-0.06731984533842024,-0.17752852331720548,-0.4188494509152429,1,58,12,NA,10,8,9
NA,NA,3,-0.18594285875728608,-0.42883258131414104,-0.449260625235767,-0.8254125027241344,0.022811174462054412,1,75,5,8,4,9,4
0,2,2,0.17435504452497544,-0.0758834278898297,0.31462093455892653,-0.2855091865516936,0.11114329953751388,0,39,13,5,3,10,8
NA,NA,NA,NA,NA,NA,NA,NA,1,38,11,9,NA,NA,NA
NA,NA,3,-1.1767620927835054,0.5123651611506892,NA,0.14641346638625896,NA,0,57,11,7,1,2,3
NA,NA,NA,NA,NA,NA,NA,NA,0,50,5,5,NA,NA,NA
0,3,3,-0.2760173345778515,-0.6641320169303486,-0.6402310151844404,0.03843280315177083,-0.24218520076432398,1,70,5,6,6,6,4
NA,1,NA,NA,NA,NA,NA,NA,0,21,9,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,47,9,6,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,68,10,5,NA,NA,NA
0,3,3,-0.005793907116155319,0.630014878958793,0.5055913245075999,-0.2855091865516936,-0.5955137010661619,1,43,5,6,5,6,8
NA,3,NA,NA,NA,NA,NA,NA,1,41,13,NA,NA,NA,NA
