election,placebo,pintr,pintr_placebo,male,age,edu,ideology,O_sd,C_sd,E_sd,A_sd,N_sd,p09c64,p09c69
NA,NA,NA,NA,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,5,NA,1,25,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,0,0,34,4,8,0.18796685968396615,0.523953664537635,-0.8262476175865359,0.4159887852276018,0.7280588581225751,6,8
NA,NA,8,7,1,41,10,7,-0.4819271183238836,-0.6235676097416465,0.10215797169020377,-0.2914379736295805,0.1478481680555473,6,3
NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,2,1,38,10,5,0.05398806408239635,-0.1317727779076686,-0.4283595078965045,-0.4682946633438758,0.2929008405723043,5,8
NA,NA,0,0,0,69,10,NA,0.4559244508871063,-0.7874992203529724,0.8979341910702665,0.5928454749418971,-0.28730984949472316,7,9
NA,NA,8,7,1,63,4,4,0.05398806408239635,0.19609044331498324,-0.4283595078965045,-0.11458128391528485,0.43795351308906133,8,5
NA,NA,8,10,0,62,4,5,0.05398806408239635,0.6878852751489608,0.5000460813802351,-0.9988647324867624,0.7280588581225751,8,5
NA,NA,NA,5,1,50,9,4,0.4559244508871063,0.523953664537635,-0.16310076810315038,-0.6451513530581715,0.7280588581225751,8,8
NA,NA,NA,0,0,53,6,5,-0.07999073151917374,0.8518168857602868,-1.09150635737989,0.2391320955133061,-0.14225717697796647,7,5
NA,NA,NA,NA,1,25,0,6,0.05398806408239635,-0.4596359991303204,-0.4283595078965045,-0.4682946633438758,-0.28730984949472316,6,7
NA,NA,NA,3,0,24,10,6,-0.6159059139254536,-0.29570438851899467,-1.2241357272765672,-0.822008042772467,-0.43236252201148023,3,5
NA,NA,8,4,1,18,1,0,0.5899032464886761,-1.6071572734096018,0.8979341910702665,-0.6451513530581715,-0.722467867044994,10,7
NA,1,7,5,0,62,5,5,-0.4819271183238836,0.19609044331498324,0.3674167114835582,0.4159887852276018,0.43795351308906133,5,4
NA,1,8,9,1,64,10,3,0.18796685968396615,-0.1317727779076686,-0.4283595078965045,-0.11458128391528485,-0.14225717697796647,7,7
NA,NA,7,7,0,51,10,4,-0.07999073151917374,-0.4596359991303204,-0.16310076810315038,0.06227540579901044,0.1478481680555473,7,5
NA,NA,7,7,1,22,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,5,0,53,4,3,0.18796685968396615,0.523953664537635,-0.4283595078965045,-0.822008042772467,0.0027954955387905684,7,7
NA,NA,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,3,1,24,6,6,0.5899032464886761,-0.9514308309642983,-0.030471398206473158,-0.822008042772467,-0.43236252201148023,7,10
NA,0,7,7,0,22,6,4,0.05398806408239635,0.03215883270365715,-0.6936182476898587,0.4159887852276018,-0.14225717697796647,5,8
NA,NA,3,NA,1,18,1,NA,0.18796685968396615,-0.7874992203529724,-0.5609888777931816,0.5928454749418971,0.43795351308906133,7,7
NA,NA,9,9,1,79,10,3,0.4559244508871063,0.03215883270365715,-0.4283595078965045,-0.822008042772467,0.0027954955387905684,6,10
NA,NA,8,8,0,74,7,2,0.5899032464886761,-0.1317727779076686,-0.030471398206473158,-0.2914379736295805,0.1478481680555473,7,10
NA,NA,5,0,1,81,1,NA,0.05398806408239635,0.523953664537635,0.234787341586881,0.2391320955133061,-0.14225717697796647,8,5
NA,NA,0,0,0,77,8,NA,0.05398806408239635,0.8518168857602868,0.234787341586881,0.4159887852276018,1.018164203156089,10,3
NA,NA,3,5,0,25,4,NA,0.32194565528553626,-0.29570438851899467,0.6326754512769124,-0.6451513530581715,0.0027954955387905684,6,9
NA,NA,0,0,0,50,4,NA,-1.6877362787380135,0.19609044331498324,-0.8262476175865359,0.4159887852276018,0.5830061856058181,0,0
NA,NA,5,5,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,9,9,0,68,6,4,0.05398806408239635,-0.4596359991303204,-0.5609888777931816,0.06227540579901044,-0.867520539561751,5,8
NA,NA,7,6,1,64,10,4,0.05398806408239635,-0.29570438851899467,0.10215797169020377,-0.2914379736295805,-0.28730984949472316,5,8
NA,NA,9,9,0,64,10,4,0.05398806408239635,-0.6235676097416465,-0.030471398206473158,-0.11458128391528485,0.1478481680555473,5,8
NA,NA,2,2,1,37,10,4,0.857860837691816,-0.1317727779076686,0.6326754512769124,0.7697021646561928,0.5830061856058181,9,10
NA,NA,5,6,0,36,10,3,0.05398806408239635,-0.1317727779076686,-0.4283595078965045,-0.2914379736295805,0.0027954955387905684,5,8
NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,8,0,69,6,4,0.7238820420902462,-0.7874992203529724,-0.9588769874832129,0.2391320955133061,-1.1576258845952647,8,10
NA,NA,9,9,1,67,10,0,-0.34794832272231363,-0.29570438851899467,-0.4283595078965045,0.2391320955133061,0.2929008405723043,5,5
NA,NA,6,7,0,50,10,0,0.4559244508871063,0.360022053926309,-0.2957301379998273,0.06227540579901044,0.43795351308906133,7,9
NA,0,10,10,1,23,6,0,0.7238820420902462,-0.7874992203529724,0.10215797169020377,0.2391320955133061,0.43795351308906133,8,10
1,NA,10,10,1,21,6,2,0.18796685968396615,-1.1153624415756243,-0.16310076810315038,-0.822008042772467,0.43795351308906133,4,10
NA,NA,NA,NA,1,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,6,7,0,61,10,4,0.4559244508871063,-0.1317727779076686,-0.4283595078965045,-0.4682946633438758,-0.722467867044994,7,9
NA,NA,NA,2,1,55,4,5,0.05398806408239635,-0.4596359991303204,-0.4283595078965045,-0.11458128391528485,-0.43236252201148023,8,5
NA,NA,0,0,0,44,1,NA,-0.34794832272231363,0.8518168857602868,0.234787341586881,1.1234155440847837,-0.43236252201148023,10,0
NA,NA,NA,0,0,18,0,5,0.857860837691816,-0.29570438851899467,0.234787341586881,0.4159887852276018,0.5830061856058181,9,10
NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,6,0,70,6,6,-0.34794832272231363,0.523953664537635,-0.4283595078965045,0.4159887852276018,-0.28730984949472316,4,6
NA,1,3,3,1,66,10,9,-0.34794832272231363,-0.4596359991303204,-0.6936182476898587,-0.6451513530581715,-0.28730984949472316,8,2
NA,NA,10,10,1,60,7,5,-0.07999073151917374,0.03215883270365715,0.10215797169020377,-0.6451513530581715,-0.5774151945282371,6,6
NA,NA,NA,NA,0,49,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,4,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,88,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,5,7,0,77,4,5,-0.6159059139254536,0.360022053926309,-0.5609888777931816,0.06227540579901044,0.2929008405723043,3,5
NA,NA,NA,NA,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,8,8,1,50,4,3,-0.34794832272231363,0.19609044331498324,-0.4283595078965045,0.4159887852276018,0.43795351308906133,10,0
NA,NA,NA,5,0,20,4,5,-0.7498847095270236,-0.29570438851899467,-0.4283595078965045,0.06227540579901044,-1.0125732120785078,6,1
NA,NA,NA,NA,0,16,0,NA,0.32194565528553626,-0.7874992203529724,0.234787341586881,-0.6451513530581715,-0.43236252201148023,8,7
NA,NA,7,7,0,69,10,3,0.5899032464886761,-0.1317727779076686,-0.9588769874832129,0.2391320955133061,-0.43236252201148023,8,9
NA,NA,5,5,0,44,4,5,0.9918396332933861,0.6878852751489608,-0.4283595078965045,0.4159887852276018,0.0027954955387905684,10,10
0,NA,2,1,1,22,1,5,0.4559244508871063,-1.443225662798276,-0.2957301379998273,-0.11458128391528485,0.2929008405723043,8,8
NA,NA,0,1,1,19,1,NA,0.7238820420902462,0.19609044331498324,0.234787341586881,0.7697021646561928,0.5830061856058181,9,9
NA,NA,0,6,1,47,1,5,-0.07999073151917374,0.03215883270365715,-0.4283595078965045,-0.6451513530581715,0.2929008405723043,8,4
0,NA,2,NA,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4,1,56,7,NA,-0.07999073151917374,-0.29570438851899467,-0.030471398206473158,-0.11458128391528485,0.43795351308906133,7,5
NA,NA,NA,6,0,53,4,7,0.18796685968396615,-0.4596359991303204,-0.4283595078965045,-0.11458128391528485,-0.722467867044994,7,7
NA,NA,2,NA,1,25,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
